# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSize90P,1767550622641000000,1767550682642000000,0
FlushQueue.executionTimeMaxNs,1767550622641000000,1767550682642000000,1466367
NonBlockingReadAction.finalizedExecutionsCount,1767550622641000000,1767550682642000000,0
AWTEventQueue.eventsDispatched,1767550622641000000,1767550682642000000,133
FlushQueue.waitingTime90PNs,1767550622641000000,1767550682642000000,843775
FlushQueue.queueSizeAvg,1767550622641000000,1767550682642000000,0.0
FlushQueue.waitingTimeMaxNs,1767550622641000000,1767550682642000000,2179071
FlushQueue.tasksExecuted,1767550622641000000,1767550682642000000,121
AWTEventQueue.dispatchTimeMaxNs,1767550622641000000,1767550682642000000,1630207
NonBlockingReadAction.finalizedExecutionTimeUs,1767550622641000000,1767550682642000000,0
NonBlockingReadAction.failedExecutionTimeUs,1767550622641000000,1767550682642000000,0
AWTEventQueue.dispatchTimeAvgNs,1767550622641000000,1767550682642000000,442571.06766917295
Indexes.stubs.lookupDurationAvgMs,1767550622641000000,1767550682642000000,0.0
Indexes.stubs.lookupDurationMaxMs,1767550622641000000,1767550682642000000,0.0
IndexesFlusher.totalFlushingTimeUs,1767550622641000000,1767550682642000000,765470
Indexes.allKeys.lookupDurationAvgMs,1767550622641000000,1767550682642000000,0.0
Indexes.entries.lookupDurationAvgMs,1767550622641000000,1767550682642000000,0.0
VFSFlusher.totalFlushesRetried,1767550622641000000,1767550682642000000,0
VFSFlusher.totalContentionQuotaSpent,1767550622641000000,1767550682642000000,0
Indexes.stubs.lookupDuration90PMs,1767550622641000000,1767550682642000000,0.0
Indexes.allKeys.lookupDuration90PMs,1767550622641000000,1767550682642000000,0.0
IndexesFlusher.totalFlushesRetried,1767550622641000000,1767550682642000000,0
Indexes.entries.lookupDuration90PMs,1767550622641000000,1767550682642000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1767550622641000000,1767550682642000000,0.0
IndexesFlusher.totalFlushes,1767550622641000000,1767550682642000000,58
VFSFlusher.totalFlushingTimeUs,1767550622641000000,1767550682642000000,0
VFSFlusher.totalFlushes,1767550622641000000,1767550682642000000,0
Indexes.stubs.lookups,1767550622641000000,1767550682642000000,0.0
Indexes.entries.lookupDurationMaxMs,1767550622641000000,1767550682642000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1767550622641000000,1767550682642000000,0
Indexes.entries.lookups,1767550622641000000,1767550682642000000,0.0
Indexes.allKeys.lookups,1767550622641000000,1767550682642000000,0.0
FileNameCache.queries,1767550622641000000,1767550682642000000,0
FileNameCache.totalMisses,1767550622641000000,1767550682642000000,0
FileNameCache.fastMisses,1767550622641000000,1767550682642000000,0
jps.facet.change.listener.init.bridge.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1767550682642000000,1767550742642000000,0
jps.global.get.library.by.name.ms,1767550682642000000,1767550742642000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767550682642000000,1767550742642000000,8
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767550682642000000,1767550742642000000,0
jps.global.handle.before.change.events.ms,1767550682642000000,1767550742642000000,0
jps.load.project.to.empty.storage.ms,1767550682642000000,1767550742642000000,54
jps.reload.project.entities.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1767550682642000000,1767550742642000000,5
workspaceModel.global.apply.state.to.project.ms,1767550682642000000,1767550742642000000,22
jps.artifact.entities.serializer.load.entities.ms,1767550682642000000,1767550742642000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1767550682642000000,1767550742642000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1767550682642000000,1767550742642000000,14
jps.global.handle.changed.events.ms,1767550682642000000,1767550742642000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1767550682642000000,1767550742642000000,68
jps.save.changed.project.entities.ms,1767550682642000000,1767550742642000000,0
jps.module.iml.entities.serializer.save.entities.ms,1767550682642000000,1767550742642000000,0
jps.facet.change.listener.process.change.events.ms,1767550682642000000,1767550742642000000,0
jps.save.global.entities.ms,1767550682642000000,1767550742642000000,3
workspaceModel.moduleManagerBridge.get.modules.ms,1767550682642000000,1767550742642000000,0
jps.app.storage.content.reader.load.component.ms,1767550682642000000,1767550742642000000,0
workspaceModel.sync.entities.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767550682642000000,1767550742642000000,1
workspaceModel.orphan.listener.update.ms,1767550682642000000,1767550742642000000,2
jps.library.entities.serializer.save.entities.ms,1767550682642000000,1767550742642000000,0
jps.project.serializers.save.ms,1767550682642000000,1767550742642000000,0
jps.artifact.entities.serializer.save.entities.ms,1767550682642000000,1767550742642000000,0
jps.facet.change.listener.before.change.events.ms,1767550682642000000,1767550742642000000,0
workspaceModel.save.cache.to.file.ms,1767550682642000000,1767550742642000000,36
workspaceModel.mutableEntityStorage.add.diff.ms,1767550682642000000,1767550742642000000,3
jps.storage.jps.conf.reader.load.component.ms,1767550682642000000,1767550742642000000,5
workspaceModel.moduleManagerBridge.newModule.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1767550682642000000,1767550742642000000,0
jps.load.initial.state.ms,1767550682642000000,1767550742642000000,3
jps.global.initialize.library.bridges.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767550682642000000,1767550742642000000,0
jps.global.get.library.ms,1767550682642000000,1767550742642000000,0
workspaceModel.mutableEntityStorage.entities.ms,1767550682642000000,1767550742642000000,0
workspaceModel.load.cache.from.file.ms,1767550682642000000,1767550742642000000,74
workspaceModel.moduleManagerBridge.load.module.ms,1767550682642000000,1767550742642000000,0
jps.project.serializers.load.ms,1767550682642000000,1767550742642000000,25
